qt=0.05,qt=0.5,qt=0.95,date
-0.6580832983312532,-0.6101235927590665,-0.5647087885972284,2015-05-30
-0.7912064026755362,-0.7367913839716715,-0.6831751002717238,2015-05-31
-0.8715265169051075,-0.8166888284501146,-0.7623640118241628,2015-06-01
-0.8806280611431022,-0.8253409732847512,-0.7693468654529105,2015-06-02
-0.8620834974546259,-0.8044940992893125,-0.7428989226471094,2015-06-03
-0.668207316504077,-0.6174825509649114,-0.5682326003371421,2015-06-04
-0.7171781961256987,-0.663676575501535,-0.6111413357995366,2015-06-05
-0.8835122014229871,-0.8293241186810821,-0.7754251526491696,2015-06-06
-0.6520970545130061,-0.6045398521834393,-0.5588830536536186,2015-06-07
-0.5532943395074529,-0.5116712908608684,-0.4719725349051997,2015-06-08
-0.8077475146065586,-0.7488070108356912,-0.6883791989625193,2015-06-09
-0.5915023882498821,-0.5463402784194964,-0.5026749985451435,2015-06-10
-0.6151428730614418,-0.5690438664186394,-0.524629569826131,2015-06-11
-0.721587547938763,-0.6670440601456316,-0.6135480060823298,2015-06-12
-0.7600935148470758,-0.7016399018097771,-0.6425072117688686,2015-06-13
-0.5645051489006176,-0.5204839419641435,-0.4777102279215255,2015-06-14
-0.6337879087702772,-0.5832322821663617,-0.5332509727011984,2015-06-15
-0.767069175027885,-0.7101064031258881,-0.6527750967205876,2015-06-16
-0.7677701119882021,-0.7099670714548291,-0.651809810959714,2015-06-17
-0.6460681727477507,-0.5966000618573106,-0.5487096271891456,2015-06-18
-0.8249712213895382,-0.7677585969445684,-0.7098250325039434,2015-06-19
-0.8275185226798897,-0.769742996158473,-0.710142899979428,2015-06-20
-0.49907016037404384,-0.46212556715391995,-0.4269176062811979,2015-06-21
-0.7707244042980497,-0.712455347129038,-0.6519984746065031,2015-06-22
-0.6704592626023275,-0.6216257662297746,-0.5743364852439345,2015-06-23
-0.8009141502925164,-0.741576407208006,-0.6798482657412778,2015-06-24
-0.5976995562456285,-0.5530480082010036,-0.5097045731148765,2015-06-25
-0.8265270381412785,-0.7666979197277638,-0.7032958566229999,2015-06-26
-0.8318406554026071,-0.7715962872538497,-0.7075461474170194,2015-06-27
-0.8176329368472036,-0.7579555130960782,-0.6944000163722293,2015-06-28
-0.8228766435443294,-0.7610698601056588,-0.6953733191466351,2015-06-29
-0.7119084177554457,-0.6584071119800352,-0.6050443441629468,2015-06-30
-0.6207720153885725,-0.5755603047973197,-0.5322803327972009,2015-07-01
-0.8172335095756184,-0.7590355832712425,-0.698976986195958,2015-07-02
-0.7415972335660557,-0.6848597434992764,-0.6278760196014541,2015-07-03
