qt=0.05,qt=0.5,qt=0.95,date
-0.8342017021031591,-0.7277223025809096,-0.6369946316628269,2015-05-30
-1.0106380408791364,-0.8828730987376081,-0.7741139672998085,2015-05-31
-1.166395914846065,-1.0228912754587842,-0.9003399547312011,2015-06-01
-1.217496680659891,-1.070731163994274,-0.9456808734802549,2015-06-02
-1.2361144098499364,-1.0888570052617796,-0.9620024145499743,2015-06-03
-0.8782799962988691,-0.7678794150667321,-0.6729309486670684,2015-06-04
-0.942383280228231,-0.8235439367813413,-0.7219531533612182,2015-06-05
-1.2011879749804786,-1.0569921072877102,-0.9327652531153003,2015-06-06
-0.6920855357500574,-0.6091489177151745,-0.5354040560576206,2015-06-07
-0.7219933288115403,-0.6319714294564664,-0.5531913647317253,2015-06-08
-1.10330199292555,-0.9671653689017741,-0.8487097285315119,2015-06-09
-0.7787818224424571,-0.6805043421054771,-0.5954818275805747,2015-06-10
-0.7992224118565809,-0.6982927680309039,-0.6114745217384582,2015-06-11
-0.9513546505964832,-0.8307287784838571,-0.7273757054994424,2015-06-12
-1.0361726319516347,-0.9056159629948457,-0.7932088699535272,2015-06-13
-0.752950456383944,-0.6581508432541501,-0.575133493969299,2015-06-14
-0.8565168486219421,-0.7483608699837208,-0.6542910020919677,2015-06-15
-1.0238517391564648,-0.8949495507610536,-0.7838583966999666,2015-06-16
-1.036550713200727,-0.9062417581130545,-0.7941901728882921,2015-06-17
-0.851254455717171,-0.7445657132631252,-0.6521704887080977,2015-06-18
-1.1042691799755533,-0.9692223736978094,-0.8507794503588808,2015-06-19
-1.1259430103992036,-0.9887343349109776,-0.8692195331930717,2015-06-20
-0.6516487730388987,-0.5712144101740304,-0.5007018663200649,2015-06-21
-1.0619713562877098,-0.9305210441263596,-0.8170994056806462,2015-06-22
-0.8667543308946443,-0.7580231826083572,-0.6654864264596035,2015-06-23
-1.1165534718046908,-0.9798153455241461,-0.862264615175791,2015-06-24
-0.7858622809740067,-0.6887939645238241,-0.6043096711827898,2015-06-25
-1.1778559553881018,-1.0357680478934155,-0.9123475984200511,2015-06-26
-1.196793911591257,-1.0536875687027516,-0.9290499168968561,2015-06-27
-1.161673926662956,-1.021622535960553,-0.8993330473363339,2015-06-28
-1.1991288210703617,-1.0557366288888392,-0.9308844080596096,2015-06-29
-0.9471812431966824,-0.8294134742692103,-0.7283342419739196,2015-06-30
-0.7976402679454668,-0.6978831782582198,-0.6120636981360443,2015-07-01
-1.1136559281081526,-0.977380211963616,-0.8588792064590524,2015-07-02
-1.000695400545154,-0.8750770986397609,-0.7670819492862561,2015-07-03
-0.9935471712747467,-0.8687192391561813,-0.7616648019002336,2015-07-04
-1.0177887323763688,-0.8902069472508082,-0.7801723862141875,2015-07-05
-1.0021463660329084,-0.8765203281480505,-0.7677539807803602,2015-07-06
-0.8759638566757859,-0.7655867348882737,-0.6716508296926512,2015-07-07
-1.149264441220937,-1.0092678516555047,-0.8881952707536412,2015-07-08
-1.1120759463847623,-0.9756181754000802,-0.8577975612171822,2015-07-09
-1.0860720629192422,-0.9514806611465915,-0.8354843947727079,2015-07-10
